TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT
1610612756,PHX,Phoenix Suns,82,23,59,240.3,9.5,25.4,0.376,26.0,7.0,18.5,0.376,0.512
1610612757,POR,Portland Trail Blazers,82,44,38,241.5,9.8,25.0,0.391,27.3,7.8,20.4,0.381,0.547
1610612758,SAC,Sacramento Kings,82,33,49,241.5,9.3,24.2,0.384,25.0,6.5,17.7,0.364,0.518
1610612759,SAS,San Antonio Spurs,82,67,15,240.3,10.5,25.5,0.414,27.0,6.0,15.1,0.393,0.531
1610612761,TOR,Toronto Raptors,82,56,26,241.2,8.7,22.4,0.39,24.5,7.1,17.8,0.396,0.548
1610612762,UTA,Utah Jazz,82,40,42,243.4,8.8,23.1,0.38,24.2,6.6,17.5,0.377,0.523
1610612764,WAS,Washington Wizards,82,41,41,240.9,10.9,27.9,0.393,29.1,7.2,19.6,0.367,0.521
1610612737,ATL,Atlanta Hawks,82,60,22,240.6,13.0,30.8,0.421,34.6,8.6,21.7,0.398,0.561
1610612738,BOS,Boston Celtics,82,40,42,242.4,10.8,28.6,0.378,28.1,6.5,19.1,0.341,0.492
1610612751,BKN,Brooklyn Nets,82,38,44,243.0,8.9,23.3,0.381,23.4,5.7,16.0,0.356,0.503
1610612766,CHA,Charlotte Hornets,82,33,49,242.7,8.5,23.4,0.363,21.5,4.5,13.6,0.33,0.459
1610612741,CHI,Chicago Bulls,82,50,32,242.4,9.9,24.8,0.401,25.8,6.0,16.0,0.374,0.522
1610612739,CLE,Cleveland Cavaliers,82,53,29,241.2,8.7,22.7,0.384,24.8,7.3,19.3,0.379,0.546
1610612742,DAL,Dallas Mavericks,82,50,32,242.4,10.7,27.3,0.391,28.5,7.2,19.7,0.366,0.523
