TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,MIN,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_PTS,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_EFG_PCT
1610612738,BOS,Boston Celtics,82,55,27,241.5,8.5,21.1,0.402,19.7,2.7,7.4,0.366,0.466
1610612751,BKN,Brooklyn Nets,82,28,54,242.1,6.5,18.6,0.35,15.6,2.6,8.6,0.309,0.421
1610612766,CHA,Charlotte Hornets,82,36,46,241.2,10.0,26.2,0.382,23.0,3.0,8.6,0.346,0.439
1610612741,CHI,Chicago Bulls,82,27,55,242.1,8.6,23.3,0.368,19.8,2.7,8.0,0.332,0.425
1610612739,CLE,Cleveland Cavaliers,82,50,32,240.6,8.0,21.5,0.374,19.0,2.9,8.4,0.345,0.442
1610612742,DAL,Dallas Mavericks,82,24,58,241.5,8.9,25.0,0.356,20.6,2.8,9.3,0.301,0.411
1610612743,DEN,Denver Nuggets,82,46,36,242.4,7.0,18.8,0.372,16.4,2.5,7.8,0.321,0.438
1610612765,DET,Detroit Pistons,82,39,43,241.5,8.6,21.8,0.393,19.0,1.9,5.8,0.326,0.436
1610612744,GSW,Golden State Warriors,82,58,24,240.6,10.5,24.3,0.431,24.2,3.3,9.0,0.365,0.498
1610612745,HOU,Houston Rockets,82,65,17,240.9,9.3,23.6,0.393,24.3,5.8,16.1,0.359,0.515
1610612754,IND,Indiana Pacers,82,48,34,240.9,9.6,22.9,0.42,21.3,2.1,6.1,0.346,0.466
1610612746,LAC,LA Clippers,82,42,40,240.3,8.1,21.2,0.38,19.4,3.3,9.2,0.359,0.458
1610612747,LAL,Los Angeles Lakers,82,35,47,242.7,6.4,18.5,0.346,14.7,1.9,6.4,0.29,0.396
1610612763,MEM,Memphis Grizzlies,82,22,60,240.3,6.6,18.6,0.357,15.5,2.2,6.8,0.328,0.417
1610612748,MIA,Miami Heat,82,44,38,243.0,6.3,17.3,0.367,14.2,1.6,5.1,0.304,0.412
1610612749,MIL,Milwaukee Bucks,82,44,38,241.8,8.9,21.8,0.409,19.2,1.4,4.9,0.291,0.442
1610612750,MIN,Minnesota Timberwolves,82,47,35,241.5,9.0,23.7,0.382,20.0,1.9,6.4,0.297,0.422
1610612740,NOP,New Orleans Pelicans,82,48,34,243.4,8.1,20.2,0.404,18.3,2.0,5.9,0.336,0.453
1610612752,NYK,New York Knicks,82,29,53,241.8,8.8,23.0,0.382,19.1,1.5,5.2,0.286,0.415
1610612760,OKC,Oklahoma City Thunder,82,48,34,241.8,9.0,24.6,0.366,20.2,2.2,7.1,0.304,0.41
1610612753,ORL,Orlando Magic,82,25,57,240.6,6.6,18.4,0.36,15.2,1.9,6.3,0.309,0.413
1610612755,PHI,Philadelphia 76ers,82,52,30,241.2,6.8,16.9,0.404,14.9,1.3,4.0,0.318,0.442
1610612756,PHX,Phoenix Suns,82,21,61,240.3,7.8,22.0,0.356,18.0,2.3,7.5,0.309,0.409
1610612757,POR,Portland Trail Blazers,82,49,33,240.9,10.6,26.1,0.405,24.6,3.4,9.6,0.357,0.47
1610612758,SAC,Sacramento Kings,82,27,55,240.9,8.9,23.6,0.378,20.2,2.4,6.8,0.344,0.428
1610612759,SAS,San Antonio Spurs,82,47,35,240.6,9.0,22.6,0.397,19.4,1.5,4.5,0.319,0.429
1610612761,TOR,Toronto Raptors,82,59,23,241.8,7.1,18.4,0.385,16.8,2.6,7.6,0.342,0.456
1610612762,UTA,Utah Jazz,82,48,34,240.9,8.3,21.9,0.379,19.5,2.9,9.0,0.322,0.445
1610612764,WAS,Washington Wizards,82,43,39,242.1,8.7,22.4,0.387,19.1,1.8,5.6,0.312,0.426
1610612737,ATL,Atlanta Hawks,82,43,39,242.4,7.5,18.9,0.397,16.6,1.6,5.3,0.303,0.44
1610612738,BOS,Boston Celtics,82,53,29,240.9,7.1,18.6,0.382,17.0,2.8,8.3,0.332,0.457
1610612751,BKN,Brooklyn Nets,82,20,62,240.9,5.8,16.5,0.353,13.8,2.2,7.0,0.318,0.42
1610612766,CHA,Charlotte Hornets,82,36,46,241.8,9.2,24.4,0.379,21.1,2.6,8.0,0.331,0.433
1610612741,CHI,Chicago Bulls,82,41,41,241.2,8.3,22.9,0.362,18.0,1.4,4.8,0.295,0.393
1610612739,CLE,Cleveland Cavaliers,82,51,31,242.4,9.0,22.2,0.407,20.9,2.8,8.0,0.353,0.47
1610612742,DAL,Dallas Mavericks,82,33,49,241.2,9.7,24.2,0.4,21.8,2.5,7.3,0.338,0.45
1610612743,DEN,Denver Nuggets,82,40,42,240.9,6.5,18.5,0.348,14.8,1.9,6.5,0.293,0.4
1610612765,DET,Detroit Pistons,82,37,45,241.5,11.0,27.6,0.399,23.6,1.5,5.3,0.293,0.428
1610612744,GSW,Golden State Warriors,82,67,15,241.2,8.5,20.9,0.404,19.7,2.8,8.2,0.336,0.47
1610612745,HOU,Houston Rockets,82,55,27,241.2,6.7,18.8,0.357,17.5,4.0,12.1,0.334,0.464
1610612754,IND,Indiana Pacers,82,42,40,242.1,7.8,19.2,0.406,17.2,1.6,4.7,0.345,0.449
1610612746,LAC,LA Clippers,82,51,31,240.9,10.9,26.0,0.421,25.0,3.1,8.6,0.36,0.48
1610612747,LAL,Los Angeles Lakers,82,26,56,240.3,8.9,24.2,0.366,20.6,2.9,9.0,0.328,0.427
1610612763,MEM,Memphis Grizzlies,82,43,39,242.7,6.3,17.5,0.361,15.0,2.3,6.7,0.344,0.426
1610612748,MIA,Miami Heat,82,41,41,241.2,6.9,18.1,0.378,15.2,1.5,4.5,0.335,0.42
1610612749,MIL,Milwaukee Bucks,82,42,40,241.2,5.4,14.5,0.37,11.5,0.8,2.9,0.291,0.399
1610612750,MIN,Minnesota Timberwolves,82,31,51,241.5,7.9,20.7,0.382,17.0,1.2,4.1,0.296,0.411
1610612740,NOP,New Orleans Pelicans,82,34,48,242.7,8.0,21.3,0.373,18.0,2.1,6.6,0.314,0.422
1610612752,NYK,New York Knicks,82,31,51,242.1,10.0,24.8,0.402,21.5,1.5,5.2,0.299,0.433
1610612760,OKC,Oklahoma City Thunder,82,47,35,241.5,7.4,20.2,0.364,16.8,2.0,6.4,0.318,0.415
1610612753,ORL,Orlando Magic,82,29,53,241.5,7.2,19.8,0.366,16.1,1.6,5.5,0.295,0.407
1610612755,PHI,Philadelphia 76ers,82,28,54,241.8,5.8,17.2,0.338,13.3,1.7,5.9,0.29,0.387
1610612756,PHX,Phoenix Suns,82,24,58,241.8,9.6,25.0,0.386,21.1,1.8,5.7,0.315,0.422
1610612757,POR,Portland Trail Blazers,82,41,41,243.0,10.2,24.3,0.42,23.1,2.7,7.6,0.36,0.476
1610612758,SAC,Sacramento Kings,82,32,50,242.4,7.7,19.5,0.396,16.9,1.5,4.6,0.328,0.435
1610612759,SAS,San Antonio Spurs,82,61,21,241.5,8.6,21.4,0.401,18.8,1.7,5.0,0.341,0.441
1610612761,TOR,Toronto Raptors,82,51,31,241.2,9.5,22.2,0.429,21.1,2.0,5.4,0.373,0.474
1610612762,UTA,Utah Jazz,82,51,31,240.9,8.3,21.3,0.39,19.0,2.4,6.7,0.358,0.446
1610612764,WAS,Washington Wizards,82,49,33,242.1,9.3,22.3,0.419,20.5,1.8,5.3,0.339,0.459
1610612737,ATL,Atlanta Hawks,82,48,34,241.8,5.7,15.3,0.375,13.1,1.7,5.7,0.297,0.43
1610612738,BOS,Boston Celtics,82,48,34,241.2,7.1,19.5,0.366,16.1,1.8,5.7,0.319,0.413
1610612751,BKN,Brooklyn Nets,82,21,61,240.9,7.2,19.0,0.382,15.7,1.2,3.8,0.305,0.413
1610612766,CHA,Charlotte Hornets,82,48,34,242.1,7.9,21.4,0.369,17.9,2.1,6.7,0.309,0.417
1610612741,CHI,Chicago Bulls,82,42,40,242.7,7.8,21.0,0.371,16.8,1.2,4.2,0.291,0.4
1610612739,CLE,Cleveland Cavaliers,82,57,25,242.1,8.2,22.1,0.373,18.6,2.1,7.1,0.301,0.421
1610612742,DAL,Dallas Mavericks,82,42,40,244.0,7.6,20.3,0.373,17.1,2.0,6.8,0.287,0.421
1610612743,DEN,Denver Nuggets,82,33,49,241.8,7.0,18.8,0.37,15.8,1.9,6.0,0.316,0.421
1610612765,DET,Detroit Pistons,82,44,38,242.4,8.9,23.1,0.385,19.9,2.1,6.8,0.306,0.43
1610612744,GSW,Golden State Warriors,82,73,9,242.4,9.1,20.9,0.434,21.6,3.5,8.6,0.403,0.517
1610612745,HOU,Houston Rockets,82,41,41,241.8,6.7,18.9,0.357,16.0,2.5,8.4,0.3,0.423
1610612754,IND,Indiana Pacers,82,45,37,242.4,8.7,23.1,0.376,19.2,1.9,5.8,0.317,0.416
1610612746,LAC,LA Clippers,82,53,29,241.8,10.6,26.9,0.393,23.5,2.3,7.6,0.306,0.437
1610612747,LAL,Los Angeles Lakers,82,17,65,240.6,9.9,27.5,0.36,22.4,2.7,8.8,0.302,0.408
1610612763,MEM,Memphis Grizzlies,82,42,40,241.8,6.4,16.6,0.386,14.0,1.1,3.6,0.311,0.42
1610612748,MIA,Miami Heat,82,48,34,241.8,7.3,19.2,0.38,15.2,0.6,2.5,0.251,0.396
1610612749,MIL,Milwaukee Bucks,82,33,49,241.8,6.2,16.5,0.375,13.1,0.7,2.6,0.276,0.397
1610612750,MIN,Minnesota Timberwolves,82,29,53,242.4,7.0,19.8,0.355,15.2,1.1,3.8,0.299,0.384
1610612740,NOP,New Orleans Pelicans,82,30,52,241.2,9.3,23.7,0.393,21.0,2.3,6.7,0.35,0.443
1610612752,NYK,New York Knicks,82,32,50,241.5,8.8,22.4,0.394,18.8,1.1,4.1,0.272,0.419
1610612760,OKC,Oklahoma City Thunder,82,55,27,241.8,9.0,22.7,0.399,20.4,2.3,7.2,0.318,0.449
1610612753,ORL,Orlando Magic,82,35,47,242.7,6.4,17.4,0.37,13.9,1.1,3.8,0.28,0.401
1610612755,PHI,Philadelphia 76ers,82,10,72,241.5,5.7,16.9,0.335,13.0,1.6,5.6,0.289,0.383
1610612756,PHX,Phoenix Suns,82,23,59,240.3,7.6,20.8,0.363,17.0,1.9,6.6,0.286,0.408
1610612757,POR,Portland Trail Blazers,82,44,38,241.5,10.4,25.2,0.413,23.5,2.7,7.6,0.351,0.465
1610612758,SAC,Sacramento Kings,82,33,49,241.5,6.1,16.1,0.38,13.6,1.4,4.1,0.345,0.423
1610612759,SAS,San Antonio Spurs,82,67,15,240.3,8.6,20.9,0.413,18.2,1.0,3.1,0.307,0.436
1610612761,TOR,Toronto Raptors,82,56,26,241.2,7.7,20.2,0.382,16.9,1.4,4.9,0.288,0.417
