SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
22019,1610612740,NOP,New Orleans Pelicans,Handoff,Offensive,0.759,72,0.052,0.955,0.416,0.073,0.116,0.07,0.016,0.401,0.507,6.1,5.8,2.1,5.1,3.0
22019,1610612762,UTA,Utah Jazz,Handoff,Offensive,0.724,72,0.055,0.952,0.427,0.084,0.128,0.075,0.021,0.406,0.511,6.1,5.8,2.1,4.9,2.8
22019,1610612754,IND,Indiana Pacers,Handoff,Offensive,0.655,73,0.054,0.942,0.416,0.081,0.09,0.084,0.028,0.408,0.478,5.9,5.6,2.1,5.0,2.9
22019,1610612756,PHX,Phoenix Suns,Handoff,Offensive,0.621,73,0.052,0.941,0.418,0.122,0.108,0.106,0.024,0.424,0.473,5.8,5.5,1.9,4.6,2.7
22019,1610612739,CLE,Cleveland Cavaliers,Handoff,Offensive,0.172,65,0.063,0.855,0.376,0.084,0.136,0.071,0.009,0.37,0.452,7.1,6.1,2.1,5.6,3.5
22019,1610612755,PHI,Philadelphia 76ers,Handoff,Offensive,0.586,73,0.052,0.924,0.414,0.069,0.069,0.057,0.002,0.417,0.474,5.8,5.3,2.1,5.0,2.9
22019,1610612764,WAS,Washington Wizards,Handoff,Offensive,0.552,72,0.049,0.921,0.408,0.116,0.135,0.108,0.025,0.406,0.479,5.6,5.2,1.8,4.4,2.6
22019,1610612751,BKN,Brooklyn Nets,Handoff,Offensive,0.828,72,0.046,0.961,0.43,0.079,0.126,0.071,0.016,0.408,0.521,5.3,5.1,1.8,4.3,2.4
22019,1610612752,NYK,New York Knicks,Handoff,Offensive,0.448,66,0.054,0.908,0.415,0.077,0.105,0.067,0.022,0.399,0.482,6.1,5.5,2.1,5.1,3.0
22019,1610612738,BOS,Boston Celtics,Handoff,Offensive,0.517,72,0.046,0.917,0.414,0.099,0.116,0.094,0.027,0.409,0.469,5.2,4.7,1.7,4.2,2.5
22019,1610612741,CHI,Chicago Bulls,Handoff,Offensive,0.069,65,0.055,0.826,0.375,0.084,0.156,0.074,0.007,0.365,0.447,6.2,5.1,1.8,4.8,3.0
22019,1610612742,DAL,Dallas Mavericks,Handoff,Offensive,0.793,75,0.041,0.959,0.436,0.09,0.122,0.072,0.023,0.42,0.507,4.6,4.4,1.6,3.7,2.1
22019,1610612757,POR,Portland Trail Blazers,Handoff,Offensive,0.897,74,0.037,1.039,0.456,0.081,0.117,0.068,0.02,0.436,0.544,4.1,4.3,1.6,3.4,1.9
22019,1610612765,DET,Detroit Pistons,Handoff,Offensive,0.276,66,0.049,0.868,0.379,0.078,0.134,0.07,0.011,0.367,0.461,5.4,4.7,1.6,4.3,2.7
22019,1610612758,SAC,Sacramento Kings,Handoff,Offensive,0.414,72,0.036,0.907,0.398,0.065,0.107,0.058,0.017,0.381,0.48,4.0,3.7,1.4,3.4,2.1
22019,1610612746,LAC,LA Clippers,Handoff,Offensive,0.862,72,0.031,1.008,0.432,0.12,0.097,0.105,0.016,0.442,0.51,3.6,3.6,1.2,2.9,1.6
22019,1610612760,OKC,Oklahoma City Thunder,Handoff,Offensive,0.207,72,0.039,0.855,0.435,0.079,0.145,0.066,0.013,0.401,0.473,4.2,3.6,1.4,3.3,1.9
22019,1610612766,CHA,Charlotte Hornets,Handoff,Offensive,0.0,65,0.047,0.778,0.377,0.06,0.171,0.054,0.009,0.341,0.442,5.1,4.0,1.5,4.0,2.5
22019,1610612747,LAL,Los Angeles Lakers,Handoff,Offensive,0.034,71,0.039,0.81,0.382,0.055,0.142,0.052,0.016,0.348,0.459,4.4,3.5,1.4,3.6,2.2
22019,1610612745,HOU,Houston Rockets,Handoff,Offensive,0.379,72,0.027,0.898,0.36,0.102,0.124,0.097,0.013,0.372,0.458,3.1,2.8,0.9,2.5,1.6
22019,1610612761,TOR,Toronto Raptors,Handoff,Offensive,0.138,72,0.029,0.852,0.366,0.055,0.127,0.051,0.004,0.352,0.456,3.3,2.8,1.0,2.7,1.7
22018,1610612755,PHI,Philadelphia 76ers,Handoff,Offensive,1.0,82,0.082,1.05,0.441,0.076,0.077,0.066,0.012,0.443,0.535,9.5,9.9,3.6,8.1,4.5
22018,1610612743,DEN,Denver Nuggets,Handoff,Offensive,0.31,82,0.082,0.898,0.417,0.064,0.091,0.057,0.012,0.409,0.47,9.1,8.2,3.3,7.8,4.6
22018,1610612748,MIA,Miami Heat,Handoff,Offensive,0.241,82,0.083,0.879,0.364,0.062,0.097,0.053,0.011,0.357,0.46,9.3,8.1,2.9,7.9,5.0
22018,1610612765,DET,Detroit Pistons,Handoff,Offensive,0.966,82,0.071,1.031,0.429,0.071,0.06,0.06,0.02,0.429,0.523,7.9,8.1,3.0,7.0,4.0
22018,1610612762,UTA,Utah Jazz,Handoff,Offensive,0.414,82,0.077,0.908,0.409,0.088,0.126,0.073,0.018,0.397,0.485,8.6,7.8,2.8,7.0,4.1
22018,1610612757,POR,Portland Trail Blazers,Handoff,Offensive,0.759,82,0.066,0.972,0.418,0.074,0.101,0.065,0.008,0.412,0.507,7.5,7.3,2.6,6.2,3.6
22018,1610612737,ATL,Atlanta Hawks,Handoff,Offensive,0.103,81,0.069,0.852,0.402,0.094,0.158,0.073,0.018,0.382,0.465,8.1,6.9,2.5,6.2,3.7
22018,1610612752,NYK,New York Knicks,Handoff,Offensive,0.138,82,0.067,0.856,0.391,0.06,0.094,0.055,0.006,0.383,0.449,7.5,6.5,2.5,6.4,3.9
22018,1610612739,CLE,Cleveland Cavaliers,Handoff,Offensive,0.862,82,0.058,0.988,0.442,0.081,0.096,0.077,0.013,0.435,0.514,6.3,6.3,2.3,5.3,3.0
22018,1610612753,ORL,Orlando Magic,Handoff,Offensive,0.379,82,0.058,0.902,0.41,0.084,0.107,0.076,0.021,0.4,0.47,6.4,5.8,2.2,5.3,3.1
