TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,MIN,POINTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH
1610612757,POR,Portland Trail Blazers,82,53,29,242.1,114.7,407.0,211.5,22.3,3.28,2.48,0.282,11.5,11.7,23.7,0.55,0.578,0.887
1610612758,SAC,Sacramento Kings,82,39,43,240.6,114.2,420.0,220.4,20.0,2.86,2.08,0.272,16.2,13.3,27.2,0.474,0.525,0.887
1610612759,SAS,San Antonio Spurs,82,48,34,241.5,111.7,400.2,212.7,21.2,3.17,2.43,0.279,11.2,19.1,20.9,0.489,0.597,0.882
1610612761,TOR,Toronto Raptors,82,58,24,242.4,114.4,422.2,232.7,20.8,2.95,2.22,0.271,12.0,11.3,21.4,0.676,0.564,0.833
1610612762,UTA,Utah Jazz,81,50,31,240.9,112.0,434.5,242.3,20.9,2.88,2.19,0.258,12.0,2.5,26.6,0.513,0.424,0.952
1610612764,WAS,Washington Wizards,81,31,50,243.1,114.2,418.1,219.3,20.5,2.94,2.25,0.273,10.5,7.0,21.2,0.581,0.526,0.929
1610612737,ATL,Atlanta Hawks,81,24,57,240.3,103.4,449.7,262.6,20.9,2.79,1.95,0.23,15.6,2.2,21.0,0.385,0.43,0.847
1610612738,BOS,Boston Celtics,79,52,27,241.6,103.9,422.5,236.9,21.2,3.01,2.2,0.246,11.6,13.1,21.0,0.451,0.499,0.75
1610612751,BKN,Brooklyn Nets,80,27,53,242.2,106.9,449.0,261.3,21.4,2.86,2.02,0.238,10.3,7.0,21.9,0.531,0.479,0.76
1610612766,CHA,Charlotte Hornets,82,36,46,241.2,108.2,402.4,216.3,20.8,3.11,2.35,0.269,10.5,13.0,21.9,0.465,0.553,0.868
1610612741,CHI,Chicago Bulls,82,27,55,242.1,102.9,422.4,236.4,19.8,2.81,2.1,0.244,12.5,10.8,21.2,0.468,0.514,0.835
1610612739,CLE,Cleveland Cavaliers,82,50,32,240.6,110.9,392.8,199.0,20.5,3.13,2.23,0.282,8.9,11.8,21.5,0.526,0.503,0.869
1610612742,DAL,Dallas Mavericks,82,24,58,241.5,102.3,420.8,228.5,21.8,3.11,2.4,0.243,12.7,10.6,19.6,0.398,0.491,0.824
1610612743,DEN,Denver Nuggets,82,46,36,242.4,110.0,424.8,245.8,20.8,2.94,2.09,0.259,10.0,14.0,24.9,0.464,0.471,0.813
1610612765,DET,Detroit Pistons,82,39,43,241.5,103.8,419.1,234.7,20.8,2.98,2.23,0.248,14.3,7.8,23.1,0.313,0.524,0.823
1610612744,GSW,Golden State Warriors,82,58,24,240.6,113.5,443.4,250.5,19.4,2.63,1.81,0.256,16.0,16.7,26.7,0.55,0.35,0.851
1610612745,HOU,Houston Rockets,82,65,17,240.9,112.4,373.5,180.9,20.8,3.34,2.56,0.301,10.3,5.1,20.7,0.525,0.539,0.793
1610612754,IND,Indiana Pacers,82,48,34,240.9,105.6,416.8,232.2,20.8,3.0,2.32,0.253,13.5,10.2,19.8,0.576,0.552,0.835
1610612746,LAC,LA Clippers,82,42,40,240.3,109.0,418.3,223.1,20.4,2.92,2.11,0.261,9.2,9.3,24.7,0.549,0.516,0.918
1610612747,LAL,Los Angeles Lakers,82,35,47,242.7,108.1,405.4,216.9,19.9,2.94,2.06,0.267,13.0,13.6,23.6,0.496,0.455,0.872
1610612763,MEM,Memphis Grizzlies,82,22,60,240.3,99.3,440.9,259.6,21.5,2.93,2.05,0.225,17.3,12.7,22.9,0.33,0.415,0.78
1610612748,MIA,Miami Heat,81,43,38,243.1,103.4,425.6,236.8,21.9,3.09,2.29,0.243,14.4,9.9,21.5,0.349,0.383,0.829
1610612749,MIL,Milwaukee Bucks,81,44,37,241.9,106.7,401.6,214.2,20.0,2.99,2.22,0.266,15.3,7.5,22.5,0.375,0.488,0.838
1610612750,MIN,Minnesota Timberwolves,82,47,35,241.5,109.5,406.1,218.2,21.8,3.22,2.4,0.27,12.0,14.9,23.7,0.555,0.618,0.944
1610612740,NOP,New Orleans Pelicans,82,48,34,243.4,111.7,430.6,233.3,19.9,2.77,1.97,0.259,12.0,12.8,24.5,0.543,0.537,0.947
1610612752,NYK,New York Knicks,81,28,53,241.8,104.4,441.7,253.2,21.1,2.87,1.99,0.236,17.1,16.2,23.9,0.535,0.547,0.919
1610612760,OKC,Oklahoma City Thunder,80,48,32,241.9,108.2,377.0,193.1,20.3,3.22,2.48,0.287,11.9,8.6,25.7,0.589,0.619,0.774
1610612753,ORL,Orlando Magic,82,25,57,240.6,103.4,411.2,230.8,20.7,3.02,2.33,0.251,13.5,9.8,21.9,0.459,0.413,0.808
1610612755,PHI,Philadelphia 76ers,81,52,29,241.2,109.9,468.6,277.5,20.2,2.59,1.7,0.234,16.8,17.2,27.4,0.326,0.516,0.808
1610612756,PHX,Phoenix Suns,82,21,61,240.3,103.9,415.7,224.7,20.5,2.96,2.26,0.25,14.8,9.1,23.2,0.421,0.397,0.865
1610612757,POR,Portland Trail Blazers,82,49,33,240.9,105.6,390.5,199.8,22.1,3.4,2.6,0.27,10.7,9.4,21.3,0.495,0.49,0.808
1610612758,SAC,Sacramento Kings,82,27,55,240.9,98.8,434.1,251.5,21.3,2.94,2.08,0.228,20.4,15.7,23.5,0.361,0.474,0.799
1610612759,SAS,San Antonio Spurs,82,47,35,240.6,102.7,432.2,250.4,21.4,2.97,2.26,0.238,14.0,19.4,23.9,0.42,0.556,0.869
